company_name,profile_url,overall_rating,total_reviews,industry,description,salary_benefits_rating,job_security_rating,work_life_balance_rating,skill_development_rating,company_culture_rating,work_satisfaction_rating
12.1k Reviews,https://www.ambitionbox.com/reviews/hdfc-life-reviews,N/A,Reviews,5% above,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12k Reviews,https://www.ambitionbox.com/reviews/dxc-technology-reviews,N/A,Reviews,On par with,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11.2k Reviews,https://www.ambitionbox.com/reviews/bandhan-bank-reviews,N/A,Reviews,On par with,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10.4k Reviews,https://www.ambitionbox.com/reviews/conneqt-business-solutions-reviews,N/A,Reviews,3% below,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10.3k Reviews,https://www.ambitionbox.com/reviews/mphasis-reviews,N/A,Reviews,8% below,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10.2k Reviews,https://www.ambitionbox.com/reviews/yes-bank-reviews,N/A,Reviews,On par with,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9.9k Reviews,https://www.ambitionbox.com/reviews/tata-steel-reviews,N/A,Reviews,5% above,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9.8k Reviews,https://www.ambitionbox.com/reviews/quess-reviews,N/A,Reviews,6% above,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9.6k Reviews,https://www.ambitionbox.com/reviews/asian-paints-reviews,N/A,Reviews,On par with,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9.5k Reviews,https://www.ambitionbox.com/reviews/maruti-suzuki-reviews,N/A,Reviews,8% above,N/A,N/A,N/A,N/A,N/A,N/A,N/A
